縣市,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,Int_Floor
臺北市,內湖區,房地(土地+建物)+車位,星雲街150巷31~60號,21.9,都市：其他:第三種住宅區。,,,1100315,土地1建物1車位1,八層,二十四層,住宅大樓(11層含以上有電梯),住家用,見使用執照,870717.0,169.95,2,2,1,有,有,25320000,148985.0,坡道平面,0.0,0,陽台外推；其他增建；,RPPNMLTLMHGGFCA67DA,60.63,0.0,3.7,有,13.0,24
臺北市,內湖區,房地(土地+建物)+車位,成功路五段450巷1~30號,27.33,都市：其他:第三之二種住宅區(依都市計畫說明書圖規定辦理)及第三種住宅區。,,,1100402,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,881022.0,167.61,3,2,2,有,有,34580000,206312.0,坡道平面,0.0,0,,RPSNMLTLMHGGFCA97DA,88.66,0.0,9.17,有,,14
臺北市,南港區,房地(土地+建物)+車位,經貿二路157巷36弄91~120號,57.95,都市：其他:住宅區(供商務住宅使用)。,,,1100325,土地1建物1車位2,二十層，二十一層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030306.0,379.7000000000001,3,3,2,有,有,87100000,280274.0,坡道平面,90.34,6000000,,RPSNMLMLLHGGFDA27DA,179.74,11.86,12.92,有,,19
臺北市,南港區,房地(土地+建物)+車位,研究院路二段61~90號,42.43,都市：其他:第三種住宅區。,,,1100328,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020603.0,269.75,4,2,2,有,有,42160000,159245.0,坡道平面,14.42,1500000,預售屋、或土地及建物分次登記案件；,RPPQMLRLMHGGFDA87DA,135.66,9.76,13.81,有,,13
臺北市,信義區,房地(土地+建物),松勤街1~30號,6.04,都市：其他:特定業務區(信義計畫特定專用區)。,,,1100328,土地1建物1車位0,十六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,961225.0,48.46,1,1,1,有,有,19350000,399298.0,,0.0,0,陽台外推；,RPVNMLTLMHGGFDA38DA,27.76,0.49,3.72,有,23.0,19
臺北市,士林區,房地(土地+建物)+車位,德行東路91~120號,34.18,都市：其他:第三種住宅區。,,,1100404,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011123.0,256.89,3,2,2,有,有,61380000,238935.0,坡道平面,33.08,0,其他增建；,RPQNMLTLMHGGFEA97DA,128.17,4.94,12.19,有,,14
臺北市,大安區,房地(土地+建物)+車位,和平東路一段91~120號,37.84,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參之壹種住宅區及第參種住宅區及第貳種商業區)。,,,1100327,土地1建物1車位3,二十四層,三十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1031224.0,604.55,1,2,5,有,有,276600000,510459.0,坡道平面,92.07,15000000,,RPQNMLTLMHGGFFA08DA,292.61,10.7,25.48,有,,38
臺北市,萬華區,房地(土地+建物),漢口街二段31~60號,5.33,都市：其他:第四種商業區。,,,1100401,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010530.0,69.68,1,1,1,有,有,12300000,176521.0,,0.0,0,,RPPOMLSLMHGGFBA67EA,37.61,2.28,5.08,有,,15
臺北市,萬華區,房地(土地+建物)+車位,青年路152巷1~30號,18.85,都市：其他:第三之一種住宅區。,,,1100218,土地4建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970103.0,88.28999999999998,3,2,2,有,有,12000000,135916.0,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUOMLTLMHGGFBA28EA,48.04,0.0,4.67,有,37.0,14
臺北市,內湖區,房地(土地+建物)+車位,新富街31~60號,50.94,都市：其他:住宅區。,,,1100319,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990209.0,292.56,4,2,2,有,有,55280000,204724.0,坡道平面,34.75,2500000,,RPVOMLTLMHGGFCA48EA,157.6,4.18,17.41,有,40.0,13
臺北市,內湖區,房地(土地+建物)+車位,成功路四段151~180號,20.57,都市：其他:市場用地(公共設施用地)。64/7/8,,,1100406,土地1建物1車位2,十六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1070223.0,308.5499999999999,0,1,0,有,有,69700000,258438.0,坡道平面,58.2,5000000,,RPXRMLTLMHGGFCA98EA,145.14,6.71,18.1,有,46.0,29
臺北市,信義區,房地(土地+建物)+車位,吳興街284巷59弄1~30號,68.1,都市：其他:第三種住宅區。,,,1100224,土地1建物1車位1,十二層，十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970128.0,305.67,5,2,4,有,有,61080000,213617.0,坡道平面,29.1,2000000,陽台外推；其他增建；,RPXSMLQKMHGGFDA78EA,175.87,8.92,19.37,有,,13
臺北市,大安區,房地(土地+建物),忠孝東路三段248巷1~30號,26.03,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100305,土地2建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,760423.0,144.77,3,2,2,有,有,36000000,248670.0,,0.0,0,,RPSPMLMKMHGGFFA77EA,92.82,0.0,13.11,有,,14
臺北市,大安區,房地(土地+建物),敦化南路一段331~360號,14.21,都市：其他:敦化南北路特定專用區(A區)(依都市計畫說明書圖規定辦理)(原屬第肆種住宅區及第肆之壹種住宅區)。,,,1100129,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.29,5,2,2,有,有,58400000,368943.0,,0.0,0,,RPSNMLTLMHGGFFA38EA,129.3,0.0,11.29,有,,14
臺北市,大安區,房地(土地+建物),建國南路二段91~120號,24.28,都市：其他:第三種住宅區。,,,1100403,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,750415.0,124.67,3,2,2,有,有,30580000,245288.0,,0.0,0,陽台外推；,RPQNMLNJNHGGFFA47EA,86.55,0.55,12.07,有,,13
臺北市,大安區,房地(土地+建物),信義路三段91~120號,4.2,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100412,土地2建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960322.0,50.06,1,1,1,有,有,19580000,391131.0,,0.0,0,,RPWOMLKLMHGGFFA97EA,18.16,1.17,12.07,有,,14
臺北市,南港區,房地(土地+建物)+車位,經貿二路235巷60弄1~30號,33.13,都市：其他:住宅區(供商務住宅使用)。,,,1100320,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011026.0,228.62,4,2,2,有,有,44300000,193771.0,坡道平面,46.5,0,,RPRPMLNJNHGGFDA57EA,106.94,11.58,7.24,有,60.0,13
臺北市,內湖區,房地(土地+建物),成功路四段61~90號,5.01,都市：其他:第三種商業區 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1100404,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,841003.0,42.71,1,1,1,有,有,9880000,231328.0,,0.0,0,,RPPSMLTLMHGGFCA28EA,28.01,0.0,3.93,有,63.0,14
臺北市,中正區,房地(土地+建物)+車位,延平南路151~180號,22.33,都市：其他:第四種商業區。,,,1100202,土地1建物1車位1,十三層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1080723.0,264.21,0,0,0,無,有,66880000,283690.0,坡道平面,41.15,3600000,毛胚屋；,RPUNMLPJNHGGFBA67EA,141.51,9.05,8.38,有,,22
臺北市,萬華區,房地(土地+建物)+車位,西園路二段281巷1~30號,31.0,都市：其他:第三種住宅區。,,,1100311,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,890821.0,170.35,3,2,2,有,有,20330000,137864.0,坡道平面,41.02,2500000,其他增建；,RPUNMLKMMHGGFBA37EA,88.66,1.01,6.55,有,,13
臺北市,大安區,房地(土地+建物),忠孝東路四段211~240號,18.4,都市：其他:道路用地(公共設施用地)。61/3/27,,,1100326,土地4建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,214.13,4,2,3,有,有,55480000,259095.0,,0.0,0,陽台外推；其他增建；,RPVOMLQLMHGGFFA38DA,170.13,1.47,31.26,有,,13
臺北市,大安區,房地(土地+建物),仁愛路四段151巷31~60號,27.24,都市：其他:第四種住宅區。,,,1100325,土地4建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790119.0,217.05,4,2,3,有,有,66970000,308546.0,,0.0,0,,RPOPMLTLLHGGFFA97DA,155.72,8.29,15.96,有,,13
臺北市,北投區,房地(土地+建物)+車位,珠海路133巷1~30號,85.47,都市：其他:第二種住宅區。,,,1100319,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970123.0,210.07,3,2,2,有,有,25000000,119008.0,坡道平面,0.0,0,,RPXOMLTLMHGGFEA78DA,103.9,3.66,9.99,有,66.0,14
臺北市,士林區,房地(土地+建物)+車位,中山北路七段81巷28弄1~30號,102.75,都市：其他:第三種住宅區。,,,1100321,土地1建物1車位6,十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1000623.0,743.98,4,2,5,有,有,183880000,247157.0,坡道平面,246.05,0,其他增建；,RPQQMLQLMHGGFEA97DA,278.25,3.76,23.22,有,,22
臺北市,中正區,房地(土地+建物)+車位,延平南路151~180號,17.93,都市：其他:第四種商業區。,,,1100108,土地1建物1車位1,十五層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1080723.0,219.05,0,0,0,無,有,55500000,291175.0,坡道平面,41.15,3700000,毛胚屋；,RPUPMLLLJHGGFBA17DA,109.06,9.38,8.31,有,,22
臺北市,文山區,房地(土地+建物)+車位,汀州路四段211~240號,31.99,都市：其他:第三種住宅區。,,,1100319,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,991105.0,165.7,3,2,2,有,有,25000000,150875.0,坡道平面,0.0,0,車位採抽籤親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKMMHGGFAA86DA,89.52,0.0,10.55,有,77.0,14
臺北市,文山區,房地(土地+建物)+車位,木柵路四段9巷1~30號,75.16,都市：其他:第二種住宅區。,,,1100314,土地2建物1車位1,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870815.0,180.5,3,2,2,有,有,23000000,127424.0,坡道平面,0.0,0,車位面積無法概算陽台外推；其他增建；,RPUNMLRJMHGGFAA57DA,85.8,2.15,12.5,有,,17
臺北市,中正區,房地(土地+建物)+車位,羅斯福路四段151~180號,23.72,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1100406,土地2建物1車位2,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031031.0,280.36,3,2,3,有,有,67000000,238978.0,塔式車位,47.42,0,塔式車位位置：地下三樓。土地價格：46900000元，建物價格：20100000元。,RPTOMLKLMHGGFAA07DA,140.42,7.27,15.65,有,,15
臺北市,萬華區,房地(土地+建物)+車位,西寧南路121~150號,4.85,都市：其他:第四種商業區。,,,1100330,土地1建物1車位1,十層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1010320.0,108.97,2,1,1,有,有,21500000,197302.0,坡道機械,0.0,0,其他增建；,RPRNMLTJMHGGFBA57DA,52.36,5.94,3.22,有,,27
臺北市,萬華區,房地(土地+建物)+車位,東園街151~180號,24.64,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第壹種商業區)。,,,1100225,土地1建物1車位1,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,921001.0,196.0,3,2,2,有,有,27700000,152469.0,坡道平面,30.72,2500000,陽台外推；,RPROMLTKLHGGFBA67DA,108.04,0.0,10.01,有,,17
臺北市,萬華區,房地(土地+建物)+車位,康定路91~120號,5.2,都市：其他:第四種商業區。,,,1100319,土地1建物1車位1,十八層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050331.0,105.25,2,1,1,有,有,16500000,156770.0,坡道平面,0.0,1800000,,RPXOMLPKMHGGFBA97DA,40.7,1.28,5.23,有,79.0,26
臺北市,大同區,房地(土地+建物)+車位,延平北路一段91~120號,15.05,都市：其他:第三種商業區。,,,1071027,土地1建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1091111.0,206.51,3,2,2,有,有,40500000,218339.0,坡道平面,32.24,2450000,預售屋、或土地及建物分次登記案件；,RPVSMLTLMHGGFBA68DA,103.16,3.0,15.3,有,,24
臺北市,大同區,房地(土地+建物)+車位,延平北路一段91~120號,15.05,都市：其他:第三種商業區。,,,1061101,土地1建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1091111.0,206.51,3,2,2,有,有,37910000,205199.0,坡道平面,32.24,2150000,預售屋、或土地及建物分次登記案件；,RPSTMLTLMHGGFBA48DA,103.16,3.0,15.3,有,,24
